band,bucket,size,dominant_portal,dominant_portal_count
12,bee2a1f1696d828a,1,P002,1
13,4dd2886d46ac0c17,1,P002,1
14,c6d7618204fc5510,1,P002,1
15,63865e05892531cc,1,P002,1
16,a087b782eaa4f172,1,P002,1
17,485bab01581fcfd4,1,P002,1
18,808bbfc9c39664b6,1,P002,1
19,8ac89af5bdb2a358,1,P002,1
20,31cb8259c8cf8d92,1,P002,1
21,2c29e00b248974d6,5,P002,3
22,7f348c1fbd4fbcff,1,P002,1
23,0dc5098c2af905f8,1,P002,1
24,548cf580103067bd,1,P002,1
25,c14e99240a1fa84c,1,P002,1
26,de4eb886c780d496,1,P002,1
27,6c90e11dff88e3d1,2,P002,2
28,a49fe0d1dda767e2,1,P002,1
29,4fc62f4e12d2ade7,1,P002,1
30,85774f22839757be,1,P002,1
31,269dbb6145412420,1,P002,1
32,9c5621f81635a518,1,P002,1
33,93af2d5323de945c,1,P002,1
34,4adbbfc385140dfa,4,P005,2
35,59d71bad255efd08,1,P002,1
36,b717833ddc19ee75,1,P002,1
37,c5cb284d0b823fe3,1,P002,1
38,1cbc4b01de8fe1a7,1,P002,1
39,a05544b135b906d2,1,P002,1
40,53fce745aa8a7466,1,P002,1
41,6b256d224fce157c,1,P002,1
42,e98b71ea2eaf89db,2,P002,1
43,4e24f635616ec115,1,P002,1
44,e6fc2d35f339b74f,1,P002,1
45,923f6f8aeb155dd9,1,P002,1
46,823142159de002ab,1,P002,1
47,7686fdd77aa6333d,6,P005,3
0,f0cbbb7110a41fc4,1,P006,1
1,97281709fa9fe71a,1,P006,1
2,4eeade169f02224e,1,P006,1
3,1665d8976874143b,1,P006,1
4,7c6f17def3d7950e,1,P006,1
5,d518dc19d8274b26,1,P006,1
6,4446201b67fdf8d0,1,P006,1
7,1462654443203f66,1,P006,1
8,471a71867be659a2,1,P006,1
9,6500e6674f46aa6f,1,P006,1
10,c62bbc9eb6ce4fbc,2,P006,2
11,d02453df17aacc8a,1,P006,1
12,267cb6a15f64fd38,1,P006,1
13,7fc8e7c16795994b,1,P006,1
14,f23471251985ed93,1,P006,1
15,d3da1a04c274a6c2,1,P006,1
16,7c1965fc537f0e45,1,P006,1
17,edd94c6a7d74bbe5,1,P006,1
18,340b8759ce4e884d,1,P006,1
19,fcb999a72ae5a24c,1,P006,1
20,43a5fc08f19ee83e,1,P006,1
21,223fa31397d103bf,1,P006,1
22,f4f8ddc2e9e8bd49,1,P006,1
23,dc17606e31a0bd31,2,P006,1
24,07cb308a958d393d,1,P006,1
25,a418f3238ea48844,1,P006,1
26,e4e6ee483133cb22,1,P006,1
27,2d4236bd5c39dba4,1,P006,1
28,811d971fa2dd95c5,1,P006,1
29,c365639388a55b3f,1,P006,1
30,22fa4ad420f1667a,1,P006,1
31,d0ed2733b6f61d4e,1,P006,1
32,4814b65aeb6d82da,71,P003,36
33,51d7ed9c9ea74347,1,P006,1
34,39eb07435e0c1804,1,P006,1
35,6562541b9116320f,1,P006,1
36,5ae9a48a7c1e0d52,12,P006,8
37,4cb2e435e02128e1,1,P006,1
38,9dd550dd57a15a4f,1,P006,1
39,114b34325d21041c,1,P006,1
40,f1733cea7a2a27e1,1,P006,1
41,1bb88ec6578ce059,1,P006,1
42,926f939171009b30,1,P006,1
43,778be56301a5e483,4,P003,2
44,8a94fc57929e4d8e,1,P006,1
45,8296d9b257ded8b7,1,P006,1
46,71f1d75fee164e1c,17,P003,7
47,44c305bfff0cb871,1,P006,1
0,9825206589914e1b,1,P002,1
1,641efd9dc49005c6,1,P002,1
2,110b931e4015e2a4,1,P002,1
3,2d737db46f4e7ffe,1,P002,1
4,4ae3500d1acab941,1,P002,1
5,aae693b7650eb829,1,P002,1
6,eb2ab728be8499d1,1,P002,1
7,7fa0185f11d07053,1,P002,1
8,826cde646f4b7ffb,1,P002,1
9,a4703ef0bd6430aa,1,P002,1
10,2cc67f6182b6a3fa,1,P002,1
11,7fffadbe945ead93,86,P001,30
12,a572983c93073910,1,P002,1
13,3a42b9f7c3e53e1e,1,P002,1
14,4515a28bf7418c16,1,P002,1
15,ec2fd1a7c725d249,1,P002,1
16,a89ebfccee4abcf7,1,P002,1
17,3b44bcb8919f2ea9,1,P002,1
18,71e1d7cbb14ea910,1,P002,1
19,e0dc592df8443d41,6,P001,3
20,f03d8744c41461e6,1,P002,1
21,e9587644e91015b2,1,P002,1
22,18578024ac959226,1,P002,1
23,8bb9893d306615be,1,P002,1
24,4e2b9aa6f23a11f9,1,P002,1
25,c6c3486f32dd24c7,1,P002,1
26,38878d9625494a6a,1,P002,1
27,8399b334518cccd5,1,P002,1
28,24786ec5d07a1915,1,P002,1
29,297c9e0ed8d35a5b,1,P002,1
30,ac95a61fa497b38b,105,P001,43
31,93c692b8ef765cce,1,P002,1
32,e2e534469f727372,1,P002,1
33,e169dc854a430bd8,1,P002,1
34,d1b2ffd2bdc364a4,1,P002,1
35,6d711e6d0ae59cba,1,P002,1
36,4792cc458a30ab70,1,P002,1
37,29f3cb764c489185,1,P002,1
38,6fb2da059d31a8b8,1,P002,1
39,db53c9a6e7422357,1,P002,1
40,0b51ff42ced65448,1,P002,1
41,71999228950e2b04,1,P002,1
42,536838f2628bc40c,1,P002,1
43,e13ceb45589000a6,1,P002,1
44,ab344be6e9877180,1,P002,1
45,403fb40b85f1cfb7,1,P002,1
46,8ed0df6fb542c380,1,P002,1
47,5a83df09a37069d9,1,P002,1
0,0f330d02bfdf59a1,3,P228,1
